id	name	website	careersUrl	missing
raycast	Raycast	https://raycast.com	https://raycast.com/careers	country
cal-com	Cal.com	https://cal.com	https://cal.com/careers	country
flowstep	Flowstep	https://flowstep.ai	-	workModel+careersUrl+neverVerified
eid-easy	eID Easy	https://eideasy.com	-	workModel+careersUrl+neverVerified
fairown	Fairown	https://fairown.com	-	workModel+careersUrl+neverVerified
mydello	MyDello	https://mydello.com	https://mydello.com/career/	workModel+neverVerified
cachet	Cachet	https://cachet.me	-	workModel+careersUrl+neverVerified
timbeter	Timbeter	https://timbeter.com	-	workModel+careersUrl+neverVerified
lingvist	Lingvist	https://lingvist.com	https://lingvist.com/jobs/	workModel+neverVerified
multilogin	Multilogin	https://multilogin.com	-	workModel+careersUrl+neverVerified
betterpic	BetterPic	https://betterpic.io	-	workModel+careersUrl+neverVerified
tuum	Tuum	https://tuum.com	-	workModel+careersUrl+neverVerified
montonio	Montonio	https://montonio.com	-	workModel+careersUrl+neverVerified
xolo	Xolo	https://xolo.io	https://www.xolo.io/zz-en/careers	workModel+neverVerified
blackwall	Blackwall	https://blackwall.com	-	workModel+careersUrl+neverVerified
cybexer-technologies	CybExer Technologies	https://cybexer.com	-	workModel+careersUrl+neverVerified
r8-technologies	R8 Technologies	https://r8tech.io	https://r8tech.io/careers/	workModel+neverVerified
funderbeam	Funderbeam	https://funderbeam.com	https://www.funderbeam.com/careers	workModel+neverVerified
erply	Erply	https://erply.com	https://erply.com/careers	workModel+neverVerified
scoro	Scoro	https://scoro.com	-	workModel+careersUrl+neverVerified
bolt	Bolt	https://bolt.eu	https://bolt.eu/en/careers/	workModel+neverVerified
playtech-estonia	Playtech (Estonia)	https://playtech.com	-	workModel+careersUrl+neverVerified
milrem-robotics	Milrem Robotics	https://milremrobotics.com	-	workModel+careersUrl+neverVerified
threod-systems	Threod Systems	https://threod.com	https://www.threod.com/careers/	workModel+neverVerified
defsecintel	DefSecIntel	https://defsecintel.com	-	workModel+careersUrl+neverVerified
cleveron	Cleveron	https://cleveron.com	https://cleveron.com/es/join-the-team/	size+workModel+neverVerified
ampler	Ampler	https://ampler.bike	-	size+workModel+careersUrl+neverVerified
onesignal	OneSignal	https://onesignal.com	-	careersUrl+neverVerified
streak	Streak	https://streak.com	-	careersUrl+neverVerified
mixrank	MixRank	https://mixrank.com	-	careersUrl+neverVerified
zentail	Zentail	https://zentail.com	-	workModel+careersUrl+neverVerified
etleap	Etleap	https://etleap.com	-	workModel+careersUrl+neverVerified
wefunder	Wefunder	https://wefunder.com	-	workModel+careersUrl+neverVerified
piinpoint	PiinPoint	https://piinpoint.com	-	workModel+careersUrl+neverVerified
giveffect	Giveffect	https://giveffect.com	-	size+careersUrl+neverVerified
tab	Tab	https://www.tab.travel	-	careersUrl+neverVerified
